PC=00000364 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000368 [FFF7C793] X15=FFFF0F0F X15=0000F0F0 X31=00000000 xori    a5,a5,-1
PC=0000036C [FCF41E23] X28=00000000 X08=00500000 X15=FFFF0F0F sh      a5,-36(s0/fp)
PC=00000370 [FC041E23] X28=00000000 X08=00500000 X00=00000000 sh      zero,-36(s0/fp)
PC=00000374 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000378 [FEF41723] X14=00000F0F X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=0000037C [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=00000380 [FEE45703] X14=0000FFFF X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=00000384 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000388 [00F767B3] X15=0000FFFF X14=0000FFFF X15=00000000 or      a5,a4,a5
PC=0000038C [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=00000390 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000394 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000398 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000039C [00F777B3] X15=00000000 X14=0000FFFF X15=00000000 and     a5,a4,a5
PC=000003A0 [FEF41423] X08=00500000 X08=00500000 X15=00000000 sh      a5,-24(s0/fp)
PC=000003A4 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=000003A8 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=000003AC [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000003B0 [00F747B3] X15=0000FFFF X14=0000FFFF X15=00000000 xor     a5,a4,a5
PC=000003B4 [FEF41323] X06=00000000 X08=00500000 X15=0000FFFF sh      a5,-26(s0/fp)
PC=000003B8 [FE041323] X06=00000000 X08=00500000 X00=00000000 sh      zero,-26(s0/fp)
PC=000003BC [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=000003C0 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000003C4 [00F767B3] X15=0000FFFF X14=0000FFFF X15=00000000 or      a5,a4,a5
PC=000003C8 [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=000003CC [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=000003D0 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=000003D4 [FEF41223] X04=00000000 X08=00500000 X15=FFFF0000 sh      a5,-28(s0/fp)
PC=000003D8 [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=000003DC [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=000003E0 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000003E4 [00F777B3] X15=00000000 X14=0000FFFF X15=00000000 and     a5,a4,a5
PC=000003E8 [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=000003EC [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=000003F0 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=000003F4 [FEF41123] X02=004FFFD0 X08=00500000 X15=FFFFFFFF sh      a5,-30(s0/fp)
PC=000003F8 [FE041123] X02=004FFFD0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000003FC [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000400 [FEC45783] X15=00000000 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000404 [00F747B3] X15=0000FFFF X14=0000FFFF X15=00000000 xor     a5,a4,a5
PC=00000408 [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=0000040C [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
