PC=00000304 [00F707B3] X15=0000FFFF X14=0000AAAA X15=00005555 add     a5,a4,a5
PC=00000308 [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=0000030C [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=00000310 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=00000314 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000318 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=0000031C [FE845783] X15=00000000 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000320 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000324 [01079793] X15=00010000 X15=00000001 X16=00000000 slli    a5,a5,16
PC=00000328 [0107D793] X15=00000001 X15=00010000 X16=00000000 srli    a5,a5,16
PC=0000032C [FEF41423] X08=00500000 X08=00500000 X15=00000001 sh      a5,-24(s0/fp)
PC=00000330 [FE845783] X15=00000001 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000334 [00278793] X15=00000003 X15=00000001 X02=004FFFE0 addi    a5,a5,2
PC=00000338 [01079793] X15=00030000 X15=00000003 X16=00000000 slli    a5,a5,16
PC=0000033C [0107D793] X15=00000003 X15=00030000 X16=00000000 srli    a5,a5,16
PC=00000340 [FEF41423] X08=00500000 X08=00500000 X15=00000003 sh      a5,-24(s0/fp)
PC=00000344 [FE845783] X15=00000003 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000348 [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
PC=0000034C [01079793] X15=00060000 X15=00000006 X16=00000000 slli    a5,a5,16
PC=00000350 [0107D793] X15=00000006 X15=00060000 X16=00000000 srli    a5,a5,16
PC=00000354 [FEF41423] X08=00500000 X08=00500000 X15=00000006 sh      a5,-24(s0/fp)
PC=00000358 [FE845783] X15=00000006 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=0000035C [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=00000360 [01079793] X15=000A0000 X15=0000000A X16=00000000 slli    a5,a5,16
PC=00000364 [0107D793] X15=0000000A X15=000A0000 X16=00000000 srli    a5,a5,16
PC=00000368 [FEF41423] X08=00500000 X08=00500000 X15=0000000A sh      a5,-24(s0/fp)
PC=0000036C [FE845783] X15=0000000A X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000370 [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=00000374 [01079793] X15=000F0000 X15=0000000F X16=00000000 slli    a5,a5,16
PC=00000378 [0107D793] X15=0000000F X15=000F0000 X16=00000000 srli    a5,a5,16
PC=0000037C [FEF41423] X08=00500000 X08=00500000 X15=0000000F sh      a5,-24(s0/fp)
PC=00000380 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=00000384 [0FF00793] X15=000000FF X00=00000000 X31=00000000 addi    a5,zero,255
PC=00000388 [FEF41323] X06=00000000 X08=00500000 X15=000000FF sh      a5,-26(s0/fp)
PC=0000038C [F0000793] X15=FFFFFF00 X00=00000000 X00=00000000 addi    a5,zero,-256
PC=00000390 [FEF41223] X04=00000000 X08=00500000 X15=FFFFFF00 sh      a5,-28(s0/fp)
PC=00000394 [FE645703] X14=000000FF X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=00000398 [FE445783] X15=0000FF00 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=0000039C [00F707B3] X15=0000FFFF X14=000000FF X15=0000FF00 add     a5,a4,a5
PC=000003A0 [FEF41123] X02=004FFFE0 X08=00500000 X15=0000FFFF sh      a5,-30(s0/fp)
PC=000003A4 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000003A8 [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=000003AC [FEF41323] X06=00000000 X08=00500000 X15=FFFFFFEC sh      a5,-26(s0/fp)
PC=000003B0 [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFE0 addi    a5,zero,-30
PC=000003B4 [FEF41223] X04=00000000 X08=00500000 X15=FFFFFFE2 sh      a5,-28(s0/fp)
PC=000003B8 [FE645703] X14=0000FFEC X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=000003BC [FE445783] X15=0000FFE2 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000003C0 [00F707B3] X15=0001FFCE X14=0000FFEC X15=0000FFE2 add     a5,a4,a5
PC=000003C4 [FEF41123] X02=004FFFE0 X08=00500000 X15=0001FFCE sh      a5,-30(s0/fp)
PC=000003C8 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000003CC [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
