PC=000002A4 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000002A8 [00A60733] X14=0000000B X12=0000000A X10=00000001 add     a4,a2,a0
PC=000002AC [00070813] X16=0000000B X14=0000000B X00=00000000 addi    a6,a4,0
PC=000002B0 [00C83833] X16=00000000 X16=0000000B X12=0000000A sltu    a6,a6,a2
PC=000002B4 [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=000002B8 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002BC [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C0 [FEE42423] X08=00500000 X08=00500000 X14=0000000B sw      a4,-24(s0/fp)
PC=000002C4 [FEF42623] X12=0000000A X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002C8 [FE445783] X15=00000004 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002CC [FFF78713] X14=00000003 X15=00000004 X31=00000000 addi    a4,a5,-1
PC=000002D0 [FEE41223] X04=00000000 X08=00500000 X14=00000003 sh      a4,-28(s0/fp)
PC=00000298 [FC0792E3] X05=00000000 X15=00000004 X00=00000000 bne     a5,zero,-60
PC=00000298 [FE842603] X12=0000000B X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=0000029C [FEC42683] X13=00000000 X08=00500000 X12=0000000B lw      a3,-20(s0/fp)
PC=000002A0 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000002A4 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000002A8 [00A60733] X14=0000000C X12=0000000B X10=00000001 add     a4,a2,a0
PC=000002AC [00070813] X16=0000000C X14=0000000C X00=00000000 addi    a6,a4,0
PC=000002B0 [00C83833] X16=00000000 X16=0000000C X12=0000000B sltu    a6,a6,a2
PC=000002B4 [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=000002B8 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002BC [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C0 [FEE42423] X08=00500000 X08=00500000 X14=0000000C sw      a4,-24(s0/fp)
PC=000002C4 [FEF42623] X12=0000000B X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002C8 [FE445783] X15=00000003 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002CC [FFF78713] X14=00000002 X15=00000003 X31=00000000 addi    a4,a5,-1
PC=000002D0 [FEE41223] X04=00000000 X08=00500000 X14=00000002 sh      a4,-28(s0/fp)
PC=00000298 [FC0792E3] X05=00000000 X15=00000003 X00=00000000 bne     a5,zero,-60
PC=00000298 [FE842603] X12=0000000C X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=0000029C [FEC42683] X13=00000000 X08=00500000 X12=0000000C lw      a3,-20(s0/fp)
PC=000002A0 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
