PC=0000032C [000107B7] X15=00010000 X02=004FFFD0 X00=00000000 lui     a5,65536
PC=00000330 [FFF78793] X15=0000FFFF X15=00010000 X31=00000000 addi    a5,a5,-1
PC=00000334 [FCF42E23] X28=00000000 X08=00500000 X15=0000FFFF sw      a5,-36(s0/fp)
PC=00000338 [FFFF07B7] X15=FFFF0000 X30=00000000 X31=00000000 lui     a5,4294901760
PC=0000033C [FCF42C23] X24=00000000 X08=00500000 X15=FFFF0000 sw      a5,-40(s0/fp)
PC=00000340 [FDC42703] X14=0000FFFF X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000344 [FD842783] X15=FFFF0000 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000348 [40F707B3] X15=0001FFFF X14=0000FFFF X15=FFFF0000 sub     a5,a4,a5
PC=0000034C [FCF42A23] X20=00000000 X08=00500000 X15=0001FFFF sw      a5,-44(s0/fp)
PC=00000350 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000354 [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=00000358 [FCF42E23] X28=00000000 X08=00500000 X15=FFFFFFEC sw      a5,-36(s0/fp)
PC=0000035C [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFD0 addi    a5,zero,-30
PC=00000360 [FCF42C23] X24=00000000 X08=00500000 X15=FFFFFFE2 sw      a5,-40(s0/fp)
PC=00000364 [FDC42703] X14=FFFFFFEC X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000368 [FD842783] X15=FFFFFFE2 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=0000036C [40F707B3] X15=0000000A X14=FFFFFFEC X15=FFFFFFE2 sub     a5,a4,a5
PC=00000370 [FCF42A23] X20=00000000 X08=00500000 X15=0000000A sw      a5,-44(s0/fp)
PC=00000374 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000378 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=0000037C [FCF42E23] X28=00000000 X08=00500000 X15=FFFFFFFE sw      a5,-36(s0/fp)
PC=00000380 [00200793] X15=00000002 X00=00000000 X02=004FFFD0 addi    a5,zero,2
PC=00000384 [FCF42C23] X24=00000000 X08=00500000 X15=00000002 sw      a5,-40(s0/fp)
PC=00000388 [FDC42703] X14=FFFFFFFE X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=0000038C [FD842783] X15=00000002 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000390 [40F707B3] X15=FFFFFFFC X14=FFFFFFFE X15=00000002 sub     a5,a4,a5
PC=00000394 [FCF42A23] X20=00000000 X08=00500000 X15=FFFFFFFC sw      a5,-44(s0/fp)
PC=00000398 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=0000039C [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=000003A0 [FCF42E23] X28=00000000 X08=00500000 X15=0000000A sw      a5,-36(s0/fp)
PC=000003A4 [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=000003A8 [FCF42C23] X24=00000000 X08=00500000 X15=FFFFFFFB sw      a5,-40(s0/fp)
